tahun,col,Program,Dasar_Hukum,Anggaran,Output,Status,Aksi,Pos_Anggaran,Nilai,Sasaran,Lembaga_DPRD,Sumber_Dana,Keterangan
2026,AIH-8ACC96F494C6D6BA,Flyover Latumenten Jakarta Barat Disebut Bisa Kurangi Macet 40 Persen,https://www.cnnindonesia.com/nasional/20260703204701-20-1376641/flyover-latumenten-jakarta-barat-disebut-bisa-kurangi-macet-40-persen,,"Anggota DPRD DKI, Hardiyanto Kenneth, menyatakan Flyover Latumenten akan kurangi kemacetan 40%. Proyek ini ditargetkan selesai Desember 2026.",DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-821F7D4B01246B40,"Purbaya Ungkap Dampak MBG di Jateng, Ciptakan 193 Ribu Lowongan Kerja",https://www.cnbcindonesia.com/news/20260703172118-4-747928/purbaya-ungkap-dampak-mbg-di-jateng-ciptakan-193-ribu-lowongan-kerja,,"Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan program Makan Bergizi Gratis di Jateng telah menjangkau 9,16 juta penerima manfaat hingga 2026.",DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-D2E746A91CF7F44C,Keluarga Dokter Icha Laporkan Tiga Anggota DPRD TTU ke Polda NTT,https://www.cnnindonesia.com/nasional/20260703111631-12-1376378/keluarga-dokter-icha-laporkan-tiga-anggota-dprd-ttu-ke-polda-ntt,,Keluarga Dokter Icha laporkan tiga anggota DPRD TTU ke Polda NTT terkait dugaan intimidasi. Kasus ini menarik perhatian publik dan dibentuk tim investiga,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-36371DEEB27ED748,DPRD Beri Lampu Hijau Perubahan Nama Jawa Barat Jadi Tatar Sunda,https://www.cnnindonesia.com/nasional/20260702194838-32-1376225/dprd-beri-lampu-hijau-perubahan-nama-jawa-barat-jadi-tatar-sunda,,DPRD Jabar setujui usulan pergantian nama provinsi menjadi Tatar Sunda. Langkah ini bertujuan menjaga identitas lokal dan mendapatkan dukungan penuh fraksi.,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-3B8426630EB8AF0A,"DPR Ungkap Rencana Besar PFII: Pajak 0%, Pakai Sistem Common Law!",https://www.cnbcindonesia.com/news/20260703085426-4-747727/dpr-ungkap-rencana-besar-pfii-pajak-0-pakai-sistem-common-law,,DPR mengungkap keunggulan Pusat Finansial Internasional Indonesia yang dirancang untuk menarik investasi global dan meningkatkan daya saing sektor keuangan.,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-C1CF781FE44FB10C,"Neraca Dagang Defisit dan PMI Jatuh, DPR Minta Pemerintah Waspada",https://www.cnbcindonesia.com/news/20260703084545-4-747720/neraca-dagang-defisit-pmi-jatuh-dpr-minta-pemerintah-waspada,,"Komisi XI DPR RI mengingatkan tentang kondisi ekonomi Indonesia pada Juni 2026, dengan inflasi naik, PMI manufaktur turun, dan defisit neraca perdagangan.",DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-5EF2309420AA9F80,DPRD Kota Bandung Minta Penataan PKL dan UMKM Utamakan Kepastian Usaha,https://www.cnnindonesia.com/nasional/20260625134538-25-1373184/dprd-kota-bandung-minta-penataan-pkl-dan-umkm-utamakan-kepastian-usaha,,"Radea Respati nilai penataan kota perlu strategi relokasi PKL dan UMKM yang komprehensif, dorong informasi lokasi baru untuk keberlangsungan usaha.",DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-E11207181517E066,"Layer Baru Cukai Rokok Belum Diberlakukan, Ini Masukan DPR ke Purbaya",https://www.cnbcindonesia.com/news/20260622054924-4-744437/layer-baru-cukai-rokok-belum-diberlakukan-ini-masukan-dpr-ke-purbaya,,Menteri Keuangan Purbaya Yudhi Sadewa belum menjelaskan penerapan layer cukai rokok baru ke Komisi XI DPR,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-FAA8B8EF71744AAD,Lautan Manusia! Ribuan Pengunjung Padat Sesak di Jakarta Fair PRJ 2026,https://www.cnbcindonesia.com/news/20260704185709-7-748062/lautan-manusia-ribuan-pengunjung-padat-sesak-di-jakarta-fair-prj-2026,Rp 2.026.000.000.000.000,Pramono menargetkan Jakarta Fair 2026 mampu menarik lebih dari 6 juta pengunjung dengan nilai transaksi melampaui Rp8 triliun.,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-96FA05D9905FF1D7,"Akhir Pekan Tiba, Waktunya Belanja Murah di Transmart Full Day Sale!",https://www.cnbcindonesia.com/news/20260704141229-4-748035/akhir-pekan-tiba-waktunya-belanja-murah-di-transmart-full-day-sale,,Manfaatkan Transmart Full Day Sale pada 5 Juli 2026 dengan diskon hingga 50% + 20% untuk kebutuhan sehari-hari dan elektronik. Promo berlaku hingga pukul 22.00!,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
2026,AIH-E373054696A94DCF,"Bayar Pajak Kendaraan di PRJ 2026, Bebas Denda dan Dapat Suvenir",https://www.cnbcindonesia.com/news/20260704140237-4-748034/bayar-pajak-kendaraan-di-prj-2026-bebas-denda-dapat-suvenir,,Pemprov DKI Jakarta hapus sanksi administrasi pajak kendaraan hingga 31 Agustus 2026. Bayar pajak di Gerai Samsat PRJ sambil menikmati pameran.,DRAFT_REVIEW_NEEDS_EVIDENCE,,,,,,APBN/APBD_NEEDS_MAPPING,AI_HUNTER_RSS
